agent_key	campaign_effect_scope_key	agent_subtype
#campaign_effect_scope_agent_junctions_tables;1;db/campaign_effect_scope_agent_junctions_tables/data__		
general	building_to_character_own_factionwide_clawspeakers_sawai	wh3_cp1_cth_sawai
spy	building_to_character_own_factionwide_clawspeakers_sawai	
spy	building_to_character_own_factionwide_clawspeakers	
dignitary	character_to_character_regionwide_local_region_warrior_priest_witch_hunter	wh_main_emp_warrior_priest
spy	character_to_character_regionwide_local_region_warrior_priest_witch_hunter	
dignitary	character_to_faction_priest_of_ulric_unseen	wh3_dlc29_emp_cha_emil_valgeir
dignitary	character_to_faction_priest_of_ulric_unseen	wh3_dlc29_emp_cha_priest_of_ulric
dignitary	character_to_faction_warrior_sigmar_unseen	wh_main_emp_warrior_priest
champion	faction_to_character_own_agents	
dignitary	faction_to_character_own_agents	
engineer	faction_to_character_own_agents	
runesmith	faction_to_character_own_agents	
spy	faction_to_character_own_agents	
wizard	faction_to_character_own_agents	
champion	faction_to_character_own_champion_only_unseen	
dignitary	faction_to_character_own_dignitary_only	
dignitary	faction_to_character_own_dignitary_runesmith_only	
runesmith	faction_to_character_own_dignitary_runesmith_only	
engineer	faction_to_character_own_engineer_only	
champion	faction_to_character_own_heroes_only	
dignitary	faction_to_character_own_heroes_only	
engineer	faction_to_character_own_heroes_only	
runesmith	faction_to_character_own_heroes_only	
spy	faction_to_character_own_heroes_only	
wizard	faction_to_character_own_heroes_only	
general	faction_to_character_own_lords_only	
dignitary	faction_to_character_own_priest_of_ulric_unseen	wh3_dlc29_emp_cha_emil_valgeir
dignitary	faction_to_character_own_priest_of_ulric_unseen	wh3_dlc29_emp_cha_priest_of_ulric
general	faction_to_character_own_ulric_lords	wh3_dlc29_emp_cha_seneschal_of_the_white_wolf
general	faction_to_character_own_ulric_lords	wh_dlc03_emp_boris_todbringer
champion	faction_to_character_own_unseen_heroes_only	
dignitary	faction_to_character_own_unseen_heroes_only	
engineer	faction_to_character_own_unseen_heroes_only	
runesmith	faction_to_character_own_unseen_heroes_only	
spy	faction_to_character_own_unseen_heroes_only	
wizard	faction_to_character_own_unseen_heroes_only	
general	faction_to_character_own_unseen_lords_only	
champion	faction_to_character_own_unseen	
dignitary	faction_to_character_own_unseen	
engineer	faction_to_character_own_unseen	
general	faction_to_character_own_unseen	
runesmith	faction_to_character_own_unseen	
spy	faction_to_character_own_unseen	
wizard	faction_to_character_own_unseen	
dignitary	faction_to_character_own_warrior_priest_witch_hunter_unseen	wh_main_emp_warrior_priest
spy	faction_to_character_own_warrior_priest_witch_hunter_unseen	
wizard	faction_to_character_own_wizard_only	
champion	faction_to_character_own	
dignitary	faction_to_character_own	
engineer	faction_to_character_own	
general	faction_to_character_own	
runesmith	faction_to_character_own	
spy	faction_to_character_own	
wizard	faction_to_character_own	
dignitary	faction_to_faction_own_priest_ulric_unseen	wh3_dlc29_emp_cha_emil_valgeir
dignitary	faction_to_faction_own_priest_ulric_unseen	wh3_dlc29_emp_cha_priest_of_ulric
dignitary	faction_to_faction_own_warrior_priest_unseen	wh_main_emp_warrior_priest
dignitary	faction_to_force_own_priest_ulric_unseen	wh3_dlc29_emp_cha_emil_valgeir
dignitary	faction_to_force_own_priest_ulric_unseen	wh3_dlc29_emp_cha_priest_of_ulric
general	faction_to_force_own_ulric_lords_unseen	wh3_dlc29_emp_cha_seneschal_of_the_white_wolf
general	faction_to_force_own_ulric_lords_unseen	wh_dlc03_emp_boris_todbringer
general	faction_to_force_own_unseen_sawai	wh3_cp1_cth_sawai
dignitary	faction_to_province_own_warrior_preist_witch_hunter_unseen	wh_main_emp_warrior_priest
spy	faction_to_province_own_warrior_preist_witch_hunter_unseen	
champion	general_to_character_own_forcewide_heroes_only	
dignitary	general_to_character_own_forcewide_heroes_only	
engineer	general_to_character_own_forcewide_heroes_only	
runesmith	general_to_character_own_forcewide_heroes_only	
spy	general_to_character_own_forcewide_heroes_only	
wizard	general_to_character_own_forcewide_heroes_only	
