effect	bonus_value_id	building_chain
#effect_bonus_value_building_chain_junctions_tables;0;db/effect_bonus_value_building_chain_junctions_tables/data__		
wh3_dlc25_effect_construction_cost_emp_elspelth_buildings	mod_cost	wh3_dlc25_EMPIRE_shooting_range
wh3_dlc25_effect_construction_cost_emp_elspelth_buildings	mod_cost	wh_main_EMPIRE_forges
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_foreign_slot_discovery_kho
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_heavy_cav
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_infra_champion
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_walls_major
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_walls_minor
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_warriors
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_prologue_kho_warriors
wh3_dlc26_effect_building_construction_mod_firemouth	mod_cost	wh3_main_ogr_settlement_corruption
wh3_dlc26_effect_building_construction_mod_spiders	mod_cost	wh_main_GREENSKIN_forest_beasts
wh3_dlc26_effect_building_construction_mod_squig	mod_cost	wh_dlc06_GREENSKIN_squigs
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_foreign_slot_discovery_kho
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_heavy_cav
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_infra_champion
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_walls_major
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_walls_minor
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_warriors
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_prologue_kho_warriors
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_dlc11_horde_def_aristocracy
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_dlc11_horde_def_exiles
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_dlc11_horde_def_residence
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_dlc11_horde_def_riders
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_beasts
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_bombardment_a
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_bombardment_b
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_bombardment_c
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_entertainment
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_military
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_settlement
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_slavery
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_sorcery
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_special_blessed_dread
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh2_main_horde_def_worship
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_aristocracy
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_beasts
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_entertainment
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_exiles
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_military
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_residence
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_riders
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_slavery
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_sorcery
wh3_dlc29_effect_black_ark_construction_cost_mod	military_force_building_cost_mod	wh3_main_horde_def_lokhir_worship
wh3_dlc29_effect_vmp_construction_cost_vegeful_spirits	mod_cost	wh2_main_VAMPIRES_wraiths
wh3_dlc29_effect_wef_worldroots_settlement_construction_cost_mod	mod_cost	wh2_main_special_settlement_gaean_vale_wef
wh3_dlc29_effect_wef_worldroots_settlement_construction_cost_mod	mod_cost	wh_dlc05_wef_oak_of_ages
wh3_dlc29_effect_wef_worldroots_settlement_construction_time_mod	mod_build_time	wh2_main_special_settlement_gaean_vale_wef
wh3_dlc29_effect_wef_worldroots_settlement_construction_time_mod	mod_build_time	wh_dlc05_wef_oak_of_ages
