bonus_value_id	unit_list	effect
#effect_bonus_value_unit_list_junctions_tables;0;db/effect_bonus_value_unit_list_junctions_tables/data__		
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_artillery	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_celestial_beasts	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_celestial_machines	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_flying_machines	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_gunpowder_infantry	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_jade_archers	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_jade_cavalry	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_jade_infantry	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_specialist_cavalry	wh3_cp1_effect_unit_allowance_cth_armies_all
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_artillery	wh3_cp1_effect_unit_allowance_cth_armies_artillery
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_celestial_beasts	wh3_cp1_effect_unit_allowance_cth_armies_celestial_beasts
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_celestial_machines	wh3_cp1_effect_unit_allowance_cth_armies_celestial_machines
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_flying_machines	wh3_cp1_effect_unit_allowance_cth_armies_flying_machines
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_gunpowder_infantry	wh3_cp1_effect_unit_allowance_cth_armies_gunpowder_infantry
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_jade_archers	wh3_cp1_effect_unit_allowance_cth_armies_jade_archers
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_jade_cavalry	wh3_cp1_effect_unit_allowance_cth_armies_jade_cavalry
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_jade_infantry	wh3_cp1_effect_unit_allowance_cth_armies_jade_infantry
unit_allowance_point_cap_mod	wh3_cp1_cth_bhashiva_specialist_cavalry	wh3_cp1_effect_unit_allowance_cth_armies_special_cavalry
unit_allowance_point_cap_mod	wh3_dlc23_chd_bale_taurus	wh3_dlc23_chd_ritual_unit_cap_bale_taurus
unit_allowance_point_cap_mod	wh3_dlc23_chd_bull_centaurs	wh3_dlc23_chd_ritual_unit_cap_bull_centaurs
unit_allowance_point_cap_mod	wh3_dlc23_chd_chaos_dwarf_blunderbusses	wh3_dlc23_chd_ritual_unit_cap_chaos_dwarf_blunderbusses
unit_allowance_point_cap_mod	wh3_dlc23_chd_chaos_dwarf_warriors	wh3_dlc23_chd_ritual_unit_cap_chaos_dwarf_warriors
unit_allowance_point_cap_mod	wh3_dlc23_chd_great_taurus	wh3_dlc23_chd_ritual_unit_cap_great_taurus
unit_allowance_point_cap_mod	wh3_dlc23_chd_hellcannon	wh3_dlc23_chd_ritual_unit_cap_hellcannon
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_guard_fireglaives	wh3_dlc23_chd_ritual_unit_cap_infernal_guard_fireglaives
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_guard	wh3_dlc23_chd_ritual_unit_cap_infernal_guard
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_ironsworn	wh3_dlc23_chd_ritual_unit_cap_infernal_ironsworn
unit_allowance_point_cap_mod	wh3_dlc23_chd_kdaai_destroyer	wh3_dlc23_chd_ritual_unit_cap_kdaai_destroyer
unit_allowance_point_cap_mod	wh3_dlc23_chd_kdaai_fireborn	wh3_dlc23_chd_ritual_unit_cap_kdaai_fireborn
unit_allowance_point_cap_mod	wh3_dlc23_chd_lammasu	wh3_dlc23_chd_ritual_unit_cap_lammasu
unit_allowance_point_cap_mod	wh3_dlc23_chd_war_machines	wh3_dlc23_chd_ritual_unit_cap_warmachines
unit_allowance_point_cap_mod	wh3_dlc23_chd_bale_taurus	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_bull_centaurs	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_chaos_dwarf_blunderbusses	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_chaos_dwarf_warriors	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_great_taurus	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_hellcannon	wh3_dlc23_effect_unit_cap_all
