unit_list	faction_set	point_cap
#unit_allowances_tables;1;db/unit_allowances_tables/data__		
wh2_dlc09_tmb_cav_necropolis_knights	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc09_tmb_cav_skeleton_horsemen	wh3_dlc29_nag_host_of_nagash	2
wh2_dlc09_tmb_inf_nehekhara_warriors_0	wh3_dlc29_nag_host_of_nagash	2
wh2_dlc09_tmb_inf_skeleton_archers_0	wh3_dlc29_nag_host_of_nagash	2147483647
wh2_dlc09_tmb_inf_skeleton_warriors_0	wh3_dlc29_nag_host_of_nagash	2147483647
wh2_dlc09_tmb_inf_tomb_guard	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc09_tmb_mon_carrion_0	wh3_dlc29_nag_host_of_nagash	2147483647
wh2_dlc09_tmb_mon_heirotitan_0	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc09_tmb_mon_necrosphinx_0	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc09_tmb_mon_necrosphinx_0	wh3_dlc29_vmp_neferata	0
wh2_dlc09_tmb_mon_sepulchral_stalkers_0	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc09_tmb_mon_sepulchral_stalkers_0	wh3_dlc29_vmp_neferata	0
wh2_dlc09_tmb_mon_tomb_scorpion_0	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc09_tmb_mon_tomb_scorpion_0	wh3_dlc29_vmp_neferata	0
wh2_dlc09_tmb_mon_ushabti_0	wh3_dlc29_vmp_neferata	0
wh2_dlc09_tmb_mon_ushabti	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc09_tmb_veh_khemrian_warsphinx_0	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc11_cst_art_all	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc11_cst_cav_deck_droppers	wh3_dlc29_nag_host_of_nagash	2
wh2_dlc11_cst_inf_deck_gunners_0	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc11_cst_inf_depth_guard	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc11_cst_inf_zombie_deckhands_mob_0	wh3_dlc29_nag_host_of_nagash	2147483647
wh2_dlc11_cst_inf_zombie_gunnery_mob_0	wh3_dlc29_nag_host_of_nagash	2147483647
wh2_dlc11_cst_inf_zombie_gunnery_mobs	wh3_dlc29_nag_host_of_nagash	2
wh2_dlc11_cst_mon_animated_hulks_0	wh3_dlc29_nag_host_of_nagash	2
wh2_dlc11_cst_mon_bloated_corpse_0	wh3_dlc29_nag_host_of_nagash	2147483647
wh2_dlc11_cst_mon_necrofex_colossus_0	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc11_cst_mon_rotting_leviathan_0	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc11_cst_mon_rotting_prometheans	wh3_dlc29_nag_host_of_nagash	1
wh2_dlc11_vmp_inf_crossbowmen	wh2_dlc11_vmp_the_barrow_legion	0
wh2_dlc11_vmp_inf_crossbowmen	wh3_dlc29_vmp_neferata	0
wh2_dlc11_vmp_inf_crossbowmen	wh3_main_vmp_caravan_of_blue_roses	0
wh2_dlc11_vmp_inf_crossbowmen	wh_main_vmp_schwartzhafen	0
wh2_dlc11_vmp_inf_crossbowmen	wh_main_vmp_vampire_counts	0
wh2_dlc11_vmp_inf_handgunners	wh2_dlc11_vmp_the_barrow_legion	0
wh2_dlc11_vmp_inf_handgunners	wh3_dlc29_vmp_neferata	0
wh2_dlc11_vmp_inf_handgunners	wh3_main_vmp_caravan_of_blue_roses	0
wh2_dlc11_vmp_inf_handgunners	wh_main_vmp_schwartzhafen	0
wh2_dlc11_vmp_inf_handgunners	wh_main_vmp_vampire_counts	0
wh2_pro06_tmb_mon_bone_giant_0	wh3_dlc29_nag_host_of_nagash	1
wh3_cp1_cth_bhashiva_artillery	wh3_cp1_cth_bhashiva	2
wh3_cp1_cth_bhashiva_celestial_beasts	wh3_cp1_cth_bhashiva	2
wh3_cp1_cth_bhashiva_celestial_machines	wh3_cp1_cth_bhashiva	2
wh3_cp1_cth_bhashiva_flying_machines	wh3_cp1_cth_bhashiva	2
wh3_cp1_cth_bhashiva_gunpowder_infantry	wh3_cp1_cth_bhashiva	2
wh3_cp1_cth_bhashiva_jade_archers	wh3_cp1_cth_bhashiva	4
wh3_cp1_cth_bhashiva_jade_cavalry	wh3_cp1_cth_bhashiva	2
wh3_cp1_cth_bhashiva_jade_infantry	wh3_cp1_cth_bhashiva	4
wh3_cp1_cth_bhashiva_specialist_cavalry	wh3_cp1_cth_bhashiva	2
wh3_dlc23_chd_bale_taurus	chaos_dwarfs	1
wh3_dlc23_chd_bull_centaurs	chaos_dwarfs	1
wh3_dlc23_chd_chaos_dwarf_blunderbusses	chaos_dwarfs	2
wh3_dlc23_chd_chaos_dwarf_warriors	chaos_dwarfs	2
wh3_dlc23_chd_great_taurus	chaos_dwarfs	1
wh3_dlc23_chd_hellcannon	chaos_dwarfs	1
wh3_dlc23_chd_infernal_guard_fireglaives	chaos_dwarfs	1
wh3_dlc23_chd_infernal_guard	chaos_dwarfs	1
wh3_dlc23_chd_infernal_ironsworn	chaos_dwarfs	1
wh3_dlc23_chd_kdaai_destroyer	chaos_dwarfs	1
wh3_dlc23_chd_kdaai_fireborn	chaos_dwarfs	1
wh3_dlc23_chd_lammasu	chaos_dwarfs	1
wh3_dlc23_chd_war_machines	chaos_dwarfs	2
wh3_dlc29_chd_chaos_siege_giant	chaos_dwarfs	1
wh3_dlc29_nag_ethereal_infantry	wh3_dlc29_nag_host_of_nagash	1
wh3_dlc29_nag_polearm_infantry	wh3_dlc29_nag_host_of_nagash	3
wh3_dlc29_nag_undead_monstrosities	wh3_dlc29_nag_host_of_nagash	1
wh3_dlc29_tmb_magical_artillery	wh3_dlc29_nag_host_of_nagash	1
wh3_dlc29_tmb_mon_khemric_titan	wh3_dlc29_nag_host_of_nagash	1
wh3_dlc29_tmb_skeleton_chariots	wh3_dlc29_nag_host_of_nagash	1
wh3_dlc29_vmp_cav_drakenhof_templars	wh3_dlc29_nag_host_of_nagash	1
wh3_dlc29_vmp_inf_spirit_host	wh3_dlc29_nag_host_of_nagash	2
wh3_dlc29_vmp_magical_chariots	wh3_dlc29_nag_host_of_nagash	1
wh3_dlc29_vmp_mon_morghast	wh3_dlc29_nag_host_of_nagash	1
wh3_dlc29_vmp_mon_zombie_dragon	wh3_dlc29_nag_host_of_nagash	0
wh3_unit_cap_vmp_cav_black_knights	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_cav_black_knights	wh3_dlc29_nag_host_of_nagash	1
wh3_unit_cap_vmp_cav_black_knights	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_cav_black_knights	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_cav_black_knights	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_cav_black_knights	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_cav_blood_knights	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_cav_blood_knights	wh3_dlc29_nag_host_of_nagash	1
wh3_unit_cap_vmp_cav_blood_knights	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_cav_blood_knights	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_cav_blood_knights	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_cav_blood_knights	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_cav_drakenhof_templars	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_cav_drakenhof_templars	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_cav_drakenhof_templars	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_cav_drakenhof_templars	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_cav_drakenhof_templars	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_cav_hexwraiths	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_cav_hexwraiths	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_cav_hexwraiths	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_cav_hexwraiths	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_cav_hexwraiths	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_inf_cairn_wraiths	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_inf_cairn_wraiths	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_inf_cairn_wraiths	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_inf_cairn_wraiths	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_inf_cairn_wraiths	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_inf_crypt_ghouls	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_inf_crypt_ghouls	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_inf_crypt_ghouls	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_inf_crypt_ghouls	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_inf_crypt_ghouls	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_inf_grave_guard	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_inf_grave_guard	wh3_dlc29_nag_host_of_nagash	1
wh3_unit_cap_vmp_inf_grave_guard	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_inf_grave_guard	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_inf_grave_guard	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_inf_grave_guard	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_inf_lahmian_handmaidens	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_inf_lahmian_handmaidens	wh3_dlc29_nag_host_of_nagash	1
wh3_unit_cap_vmp_inf_lahmian_handmaidens	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_inf_lahmian_handmaidens	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_inf_lahmian_handmaidens	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_inf_lahmian_handmaidens	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_mon_crypt_horrors	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_mon_crypt_horrors	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_mon_crypt_horrors	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_mon_crypt_horrors	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_mon_crypt_horrors	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_mon_dire_wolves	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_mon_dire_wolves	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_mon_dire_wolves	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_mon_dire_wolves	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_mon_dire_wolves	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_mon_mournguls_0	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_mon_mournguls_0	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_mon_mournguls_0	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_mon_mournguls_0	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_mon_mournguls_0	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_mon_terrorgheist	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_mon_terrorgheist	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_mon_terrorgheist	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_mon_terrorgheist	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_mon_terrorgheist	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_mon_vargheists	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_mon_vargheists	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_mon_vargheists	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_mon_vargheists	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_mon_vargheists	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_mon_varghulf	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_mon_varghulf	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_mon_varghulf	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_mon_varghulf	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_mon_varghulf	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_mon_zombie_dragon	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_mon_zombie_dragon	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_mon_zombie_dragon	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_mon_zombie_dragon	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_mon_zombie_dragon	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_veh_black_coach	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_veh_black_coach	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_veh_black_coach	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_veh_black_coach	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_veh_black_coach	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_veh_corpse_cart	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_veh_corpse_cart	wh3_dlc29_nag_host_of_nagash	2
wh3_unit_cap_vmp_veh_corpse_cart	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_veh_corpse_cart	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_veh_corpse_cart	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_veh_corpse_cart	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_veh_coven_throne	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_veh_coven_throne	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_veh_coven_throne	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_veh_coven_throne	wh_main_vmp_schwartzhafen	0
